2026-05-14 10:16:16 | INFO | master | Loaded configuration from runs/20260514_101616_master_alpha158_csi300_20080101_20260331/config.yaml
2026-05-14 10:16:16 | INFO | master | Experiment configuration sections follow.
2026-05-14 10:16:16 | INFO | master | Using dataset universe=csi300, data_path=data/alpha158_csi300_20080101_20260331.parquet
2026-05-14 10:16:20 | INFO | master | swanlab tracking enabled for experiment master_alpha158_csi300_20080101_20260331
2026-05-14 10:17:10 | INFO | master | Epoch 1 | batch 100/3402 | train_loss=1.302079 | train_loss_pointwise=1.302079 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000073
2026-05-14 10:17:15 | INFO | master | Epoch 1 | batch 200/3402 | train_loss=1.103554 | train_loss_pointwise=1.103554 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000146
2026-05-14 10:17:19 | INFO | master | Epoch 1 | batch 300/3402 | train_loss=1.247944 | train_loss_pointwise=1.247944 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000220
2026-05-14 10:17:24 | INFO | master | Epoch 1 | batch 400/3402 | train_loss=1.156302 | train_loss_pointwise=1.156302 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000293
2026-05-14 10:17:29 | INFO | master | Epoch 1 | batch 500/3402 | train_loss=1.185840 | train_loss_pointwise=1.185840 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000367
2026-05-14 10:17:33 | INFO | master | Epoch 1 | batch 600/3402 | train_loss=1.108548 | train_loss_pointwise=1.108548 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000440
2026-05-14 10:17:38 | INFO | master | Epoch 1 | batch 700/3402 | train_loss=1.122299 | train_loss_pointwise=1.122299 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000514
2026-05-14 10:17:43 | INFO | master | Epoch 1 | batch 800/3402 | train_loss=1.031294 | train_loss_pointwise=1.031294 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000588
2026-05-14 10:17:47 | INFO | master | Epoch 1 | batch 900/3402 | train_loss=1.094194 | train_loss_pointwise=1.094194 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000661
2026-05-14 10:17:51 | INFO | master | Epoch 1 | batch 1000/3402 | train_loss=1.076433 | train_loss_pointwise=1.076433 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000735
2026-05-14 10:17:56 | INFO | master | Epoch 1 | batch 1100/3402 | train_loss=1.051812 | train_loss_pointwise=1.051812 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000808
2026-05-14 10:18:01 | INFO | master | Epoch 1 | batch 1200/3402 | train_loss=1.094689 | train_loss_pointwise=1.094689 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000882
2026-05-14 10:18:05 | INFO | master | Epoch 1 | batch 1300/3402 | train_loss=1.131097 | train_loss_pointwise=1.131097 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00000955
2026-05-14 10:18:10 | INFO | master | Epoch 1 | batch 1400/3402 | train_loss=1.057498 | train_loss_pointwise=1.057498 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:15 | INFO | master | Epoch 1 | batch 1500/3402 | train_loss=1.043472 | train_loss_pointwise=1.043472 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:19 | INFO | master | Epoch 1 | batch 1600/3402 | train_loss=1.075509 | train_loss_pointwise=1.075509 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:24 | INFO | master | Epoch 1 | batch 1700/3402 | train_loss=1.023777 | train_loss_pointwise=1.023777 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:28 | INFO | master | Epoch 1 | batch 1800/3402 | train_loss=0.961950 | train_loss_pointwise=0.961950 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:33 | INFO | master | Epoch 1 | batch 1900/3402 | train_loss=0.986288 | train_loss_pointwise=0.986288 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:37 | INFO | master | Epoch 1 | batch 2000/3402 | train_loss=1.018982 | train_loss_pointwise=1.018982 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:42 | INFO | master | Epoch 1 | batch 2100/3402 | train_loss=1.038976 | train_loss_pointwise=1.038976 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:46 | INFO | master | Epoch 1 | batch 2200/3402 | train_loss=1.011561 | train_loss_pointwise=1.011561 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:50 | INFO | master | Epoch 1 | batch 2300/3402 | train_loss=1.019938 | train_loss_pointwise=1.019938 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:18:55 | INFO | master | Epoch 1 | batch 2400/3402 | train_loss=0.998939 | train_loss_pointwise=0.998939 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
